burstiness,time,data_response_time,voice_response_time,video_response_time,total_response_time,data_sent_packet,voice_sent_packet,video_sent_packet,total_sent_packet,data_processed_packet,voice_processed_packet,video_processed_packet,total_processed_packet,data_confidence_interval,voice_confidence_interval,video_confidence_interval,total_confidence_interval
1.0,100,0.00017710601904550498,9.327908515865111e-05,0.0001417060954840395,0.00011304865347589035,603793,2500000,375000,3478793,603793,2499999,374999,3478791,0.007464848713333421,0.028936654250954354,0.011950598956334905,0.019466361236586367
2.0,100,0.0002895814350137584,0.00020495513432184633,0.00031567347855291733,0.00023189497381415164,604679,2500000,387544,3492223,604673,2499989,387544,3492206,0.023247061593062026,0.02846889448345544,0.02494397048597934,0.026590867508566093
3.0,220,0.0005976681983023181,0.0005123398746330712,0.0008159726627990804,0.0005606395994946466,1328705,5499999,847710,7676414,1328704,5499999,847710,7676413,0.04349993072666518,0.04937042987041951,0.0406294829038253,0.047247106603207634
4.0,250,0.0010008888924933896,0.0009170305787721272,0.0014785790544931262,0.0009933388881016403,1513861,6249999,959313,8723173,1513861,6249999,959313,8723173,0.04469017325450313,0.04895237662377567,0.044123489642213645,0.04754800960653053
5.0,510,0.0013833414810606537,0.00129918310214976,0.0021167560875927577,0.0014031007011666822,3086344,12749999,1942020,17778363,3086344,12749999,1942020,17778363,0.047532665720994585,0.049776351355505,0.039946863647842605,0.04821527075126406
6.0,680,0.0019288212638792744,0.0018382054709170969,0.0029709010014249077,0.001978721513523152,4109671,16999999,2614291,23723961,4109655,16999925,2614280,23723860,0.048562255613139066,0.04997075045724337,0.04261332869140687,0.048697698730188484
7.0,1030,0.0022625501971529904,0.0021766967028778008,0.003571099193164982,0.0023432360628853495,6240004,25749999,3902608,35892611,6240004,25749999,3902608,35892611,0.048070820370986166,0.0496723111962645,0.03929726458966403,0.04813652564779091
8.0,1750,0.0027607348885744835,0.0026742727763354648,0.0043615364224107315,0.0028739118354510077,10590211,43750000,6676951,61017162,10590194,43749923,6676926,61017043,0.04875751730865767,0.049925716965276645,0.040316545154672964,0.048569683231095805
9.0,1590,0.0032322381581578316,0.0031504459886538116,0.005154603509386879,0.003383602786257188,9620656,39750000,6055496,55426152,9620607,39749797,6055421,55425825,0.04922671477367139,0.04966067690329118,0.03996655431702272,0.048396335610252306
10.0,2180,0.003624739164911466,0.003537356597235569,0.005797064349503356,0.0037990743482472665,13183442,54500000,8289308,75972750,13183441,54499998,8289308,75972747,0.049171299778610116,0.049919978182520405,0.04028876223988484,0.04861360797652273
