burstiness,time,data_response_time,voice_response_time,video_response_time,total_response_time,data_sent_packet,voice_sent_packet,video_sent_packet,total_sent_packet,data_processed_packet,voice_processed_packet,video_processed_packet,total_processed_packet,data_confidence_interval,voice_confidence_interval,video_confidence_interval,total_confidence_interval
1.0,100,0.0001771060190455,9.327908515865113e-05,0.000141706095484,0.0001130486534758,603793,2500000,375000,3478793,603793,2499999,374999,3478791,0.0074648487133334,0.0289366542509543,0.0119505989563349,0.0194663612365863
2.0,100,0.0002895814350137,0.0002049551343218,0.0003156734785529,0.0002318949738141,604679,2500000,387544,3492223,604673,2499989,387544,3492206,0.023247061593062,0.0284688944834554,0.0249439704859793,0.026590867508566
3.0,220,0.0005976681983023,0.000512339874633,0.000815972662799,0.0005606395994946,1328705,5499999,847710,7676414,1328704,5499999,847710,7676413,0.0434999307266651,0.0493704298704195,0.0406294829038253,0.0472471066032076
4.0,250,0.0010008888924933,0.0009170305787721,0.0014785790544931,0.0009933388881016,1513861,6249999,959313,8723173,1513861,6249999,959313,8723173,0.0446901732545031,0.0489523766237756,0.0441234896422136,0.0475480096065305
5.0,510,0.0013833414810606,0.0012991831021497,0.0021167560875927,0.0014031007011666,3086344,12749999,1942020,17778363,3086344,12749999,1942020,17778363,0.0475326657209945,0.049776351355505,0.0399468636478426,0.048215270751264
6.0,680,0.0019288212638792,0.001838205470917,0.0029709010014249,0.0019787215135231,4109671,16999999,2614291,23723961,4109655,16999925,2614280,23723860,0.048562255613139,0.0499707504572433,0.0426133286914068,0.0486976987301884
7.0,1030,0.0022625501971529,0.0021766967028778,0.0035710991931649,0.0023432360628853,6240004,25749999,3902608,35892611,6240004,25749999,3902608,35892611,0.0480708203709861,0.0496723111962645,0.039297264589664,0.0481365256477909
8.0,1750,0.0027607348885744,0.0026742727763354,0.0043615364224107,0.002873911835451,10590211,43750000,6676951,61017162,10590194,43749923,6676926,61017043,0.0487575173086576,0.0499257169652766,0.0403165451546729,0.0485696832310958
9.0,1590,0.0032322381581578,0.0031504459886538,0.0051546035093868,0.0033836027862571,9620656,39750000,6055496,55426152,9620607,39749797,6055421,55425825,0.0492267147736713,0.0496606769032911,0.0399665543170227,0.0483963356102523
10.0,2180,0.0036247391649114,0.0035373565972355,0.0057970643495033,0.0037990743482472,13183442,54500000,8289308,75972750,13183441,54499998,8289308,75972747,0.0491712997786101,0.0499199781825204,0.0402887622398848,0.0486136079765227
20.0,5200,0.0081590013172518,0.0080722239306166,0.0133777055452048,0.0086612715471288,31474646,130000000,19587857,181062503,31474457,129999144,19587758,181061359,0.0496512393844393,0.0499557353804025,0.0416886695602235,0.048917949112433
30.0,7650,0.0126992884245878,0.012611741070823,0.0209223472589799,0.0135256754171028,46267433,191250000,28800081,266317514,46267433,191250000,28800081,266317514,0.0495525561188448,0.0497597752032605,0.039791837405003,0.0485532203155925
40.0,9900,0.0171196190186571,0.017038485782992,0.0282740207856939,0.0182678784705735,59852131,247499999,37277126,344629256,59852093,247499794,37277120,344629007,0.0495280671843645,0.0497722496945788,0.0401748715879118,0.048567603235014
50.0,10650,0.0215500588116036,0.0214617609511638,0.0356144515663753,0.0230070804936943,64418980,266249999,40080192,370749171,64418548,266248456,40079582,370746586,0.0499299854727189,0.0499676656781763,0.0408696142514745,0.0488818568290341
60.0,11500,0.0264665037838971,0.0263851526396471,0.043761088870854,0.0282796183999479,69552388,287499998,43327572,400379958,69551823,287497790,43326643,400376256,0.0499539951226412,0.0498809296588321,0.0398308823815352,0.0487102451399303
70.0,15500,0.0303881385392251,0.0303097170640218,0.050448559029209,0.0324956765508374,93758601,387499996,58188935,539447532,93758601,387499996,58188935,539447532,0.0498084785625337,0.0499787019645507,0.0407433911349375,0.0488096810659641
80.0,21100,0.0347409081991219,0.0346597795405759,0.0578288889131378,0.0371674946960011,127634404,527499999,79014567,734148970,127634258,527499360,79013728,734147346,0.049950349198839,0.049927704601564,0.039775805648644,0.0487180709306253
90.0,22600,0.0395394264268467,0.0394604232849427,0.0655250563531179,0.0422918044832901,136696243,565000000,85049404,786745647,136695289,564996092,85048641,786740022,0.0498987793043808,0.0499878673609851,0.03916908771576,0.0486716970141486
100.0,22950,0.0439924452222509,0.0439104380542811,0.0730739948135132,0.0470705141425359,138819520,573750000,86157301,798726821,138819520,573750000,86157301,798726821,0.0498778061369689,0.0499418135217937,0.0397110072531637,0.0486814413462663
